hhid,hh_d_ni_noasis,hh_d_esc_retardada,hh_d_logro_min,hh_d_destotalmax,hh_d_subocup_max,hh_d_10a17_ocup,hh_d_no_afil,hh_d_jubi_pens,hh_d_materialidad,hh_d_hacinamiento,hh_d_sin_basur,hh_d_sin_salud,hh_d_agua_mejor,hh_d_san_mejor,hh_d_combus,fex_2022,facpob,upm,nvivi,nhoga,dpto,area,pobrezai,pobnopoi,ing_tcm,tcm,estgeo
00014_003_1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,87.24970657599999,436.24853288,14,3,1,Asuncion,1,3,0,0,0,Asuncion
00014_020_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,94.529765533,189.059531066,14,20,1,Asuncion,1,3,0,0,0,Asuncion
00014_023_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81.080183901,162.160367802,14,23,1,Asuncion,1,3,0,0,0,Asuncion
00014_024_1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,83.39546317099999,833.9546317100001,14,24,1,Asuncion,1,3,0,0,0,Asuncion
00014_025_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.307920766,103.307920766,14,25,1,Asuncion,1,3,0,0,0,Asuncion
00014_031_1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,68.089327106,204.267981318,14,31,1,Asuncion,1,3,0,0,0,Asuncion
00014_037_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91.354392344,182.708784688,14,37,1,Asuncion,1,3,0,0,0,Asuncion
00014_039_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.63960166699998,597.837610002,14,39,1,Asuncion,1,3,0,0,0,Asuncion
00014_040_1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,88.158170674,528.949024044,14,40,1,Asuncion,1,3,0,0,0,Asuncion
00014_049_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.076806491,71.076806491,14,49,1,Asuncion,1,3,0,0,0,Asuncion
00014_054_1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,76.190487514,152.380975028,14,54,1,Asuncion,1,3,0,0,0,Asuncion
00014_059_1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,72.30467024400001,578.4373619520001,14,59,1,Asuncion,1,3,0,0,0,Asuncion
00030_001_1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,125.364798873,626.823994365,30,1,1,Asuncion,1,3,0,0,0,Asuncion
00030_016_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.193015774,116.193015774,30,16,1,Asuncion,1,3,0,0,0,Asuncion
00030_023_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120.011551833,480.046207332,30,23,1,Asuncion,1,3,0,0,0,Asuncion
00030_024_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116.669136968,350.007410904,30,24,1,Asuncion,1,3,0,0,0,Asuncion
